brand_id,brand,count
9,chevrolet,905
12,dodge,630
3,audi,589
5,bmw,531
17,ford,521
22,hyundai,438
33,mercedes-benz,261
10,chrysler,260
0,acura,242
19,gmc,238
4,bentley,238
26,jeep,220
36,nissan,171
46,toyota,168
44,suzuki,167
14,ferrari,164
27,lamborghini,161
20,honda,161
7,buick,158
2,aston martin,157
47,volkswagen,132
48,volvo,131
8,cadillac,129
40,rolls-royce,114
43,spyker,88
28,land rover,86
21,hummer,83
6,bugatti,77
23,infiniti,67
15,fiat,62
35,mitsubishi,48
25,jaguar,47
13,eagle,46
1,am general,45
11,daewoo,45
18,geo,45
16,fisker,44
32,mclaren,44
38,porsche,44
37,plymouth,44
41,scion,42
39,ram,41
42,smart,40
24,isuzu,40
29,lincoln,39
45,tesla,39
34,mini,37
31,mazda,36
30,maybach,29
